head,tail,relation,source,doc
肺结核,细支气管炎,疾病-共病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
胃食管反流,慢性阻塞性肺疾病,疾病-共病,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
胃食管反流,阻塞性睡眠呼吸暂停,疾病-共病,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
骨质疏松症,心力衰竭,疾病-共病,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
骨质疏松症,心血管疾病,疾病-共病,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
鼻窦炎,支气管炎,疾病-共病,cooccurrence,11_【参考】慢性阻塞性肺病（COPD）治疗药物临床研究指导原则-EMA_cleaned.txt
鼻窦炎,肺炎,疾病-共病,cooccurrence,11_【参考】慢性阻塞性肺病（COPD）治疗药物临床研究指导原则-EMA_cleaned.txt
呼吸衰竭,胸腔积液,疾病-并发症,,
呼吸衰竭,高碳酸血症,疾病-并发症,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
心力衰竭,心绞痛,疾病-并发症,,
心力衰竭,抑郁症,疾病-并发症,,
心力衰竭,胸腔积液,疾病-并发症,,
心力衰竭,高碳酸血症,疾病-并发症,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
心肌梗死,心绞痛,疾病-并发症,,
心血管疾病,代谢综合征,疾病-并发症,,
心血管疾病,心绞痛,疾病-并发症,,
心血管疾病,抑郁症,疾病-并发症,,
心血管疾病,焦虑症,疾病-并发症,,
慢性阻塞性肺疾病,代谢综合征,疾病-并发症,,
慢性阻塞性肺疾病,右心衰竭,疾病-并发症,,
慢性阻塞性肺疾病,呼吸衰竭,疾病-并发症,,
慢性阻塞性肺疾病,心力衰竭,疾病-并发症,,
慢性阻塞性肺疾病,心绞痛,疾病-并发症,,
慢性阻塞性肺疾病,心肌梗死,疾病-并发症,,
慢性阻塞性肺疾病,心血管疾病,疾病-并发症,,
慢性阻塞性肺疾病,慢性支气管炎,疾病-并发症,,
慢性阻塞性肺疾病,抑郁症,疾病-并发症,,
慢性阻塞性肺疾病,支气管哮喘,疾病-并发症,,
慢性阻塞性肺疾病,支气管扩张,疾病-并发症,,
慢性阻塞性肺疾病,支气管炎,疾病-并发症,,
慢性阻塞性肺疾病,焦虑症,疾病-并发症,,
慢性阻塞性肺疾病,糖尿病,疾病-并发症,,
慢性阻塞性肺疾病,肺动脉高压,疾病-并发症,,
慢性阻塞性肺疾病,肺栓塞,疾病-并发症,,
慢性阻塞性肺疾病,肺炎,疾病-并发症,,
慢性阻塞性肺疾病,肺癌,疾病-并发症,,
慢性阻塞性肺疾病,肺结核,疾病-并发症,,
慢性阻塞性肺疾病,胸腔积液,疾病-并发症,,
慢性阻塞性肺疾病,脉浮,疾病-并发症,,
慢性阻塞性肺疾病,贫血,疾病-并发症,,
慢性阻塞性肺疾病,阻塞性睡眠呼吸暂停,疾病-并发症,,
慢性阻塞性肺疾病,骨质疏松症,疾病-并发症,,
支气管哮喘,心绞痛,疾病-并发症,,
支气管哮喘,胸腔积液,疾病-并发症,,
支气管扩张,抑郁症,疾病-并发症,,
支气管扩张,焦虑症,疾病-并发症,,
流行性感冒,抑郁症,疾病-并发症,,
流行性感冒,焦虑症,疾病-并发症,,
糖尿病,代谢综合征,疾病-并发症,,
糖尿病,心绞痛,疾病-并发症,,
糖尿病,抑郁症,疾病-并发症,,
肺栓塞,胸腔积液,疾病-并发症,,
肺炎,心绞痛,疾病-并发症,,
肺炎,胸腔积液,疾病-并发症,,
肺癌,代谢综合征,疾病-并发症,,
肺癌,心绞痛,疾病-并发症,,
肺癌,慢性咳嗽,疾病-并发症,,
肺癌,抑郁症,疾病-并发症,,
肺癌,焦虑症,疾病-并发症,,
肺癌,胸腔积液,疾病-并发症,,
肺癌,胸闷,疾病-并发症,,
肺结核,代谢综合征,疾病-并发症,,
贫血,心绞痛,疾病-并发症,,
贫血,抑郁症,疾病-并发症,,
骨质疏松症,抑郁症,疾病-并发症,,
骨质疏松症,焦虑症,疾病-并发症,,
呼吸衰竭,无创通气,疾病-治疗,,
心力衰竭,戒烟,疾病-治疗,,
心力衰竭,无创通气,疾病-治疗,,
心力衰竭,肺减容手术,疾病-治疗,,
心力衰竭,肺康复,疾病-治疗,,
心血管疾病,戒烟,疾病-治疗,,
心血管疾病,无创通气,疾病-治疗,,
慢性支气管炎,戒烟,疾病-治疗,,
慢性阻塞性肺疾病,健脾,疾病-治疗,,
慢性阻塞性肺疾病,宣肺止咳,疾病-治疗,,
慢性阻塞性肺疾病,戒烟,疾病-治疗,,
慢性阻塞性肺疾病,手术切除,疾病-治疗,,
慢性阻塞性肺疾病,无创通气,疾病-治疗,,
慢性阻塞性肺疾病,活血,疾病-治疗,,
慢性阻塞性肺疾病,益肺灸,疾病-治疗,,
慢性阻塞性肺疾病,益肾,疾病-治疗,,
慢性阻塞性肺疾病,肺减容手术,疾病-治疗,,
慢性阻塞性肺疾病,肺康复,疾病-治疗,,
慢性阻塞性肺疾病,舒肺贴,疾病-治疗,,
慢性阻塞性肺疾病,补肺,疾病-治疗,,
慢性阻塞性肺疾病,阻抗训练,疾病-治疗,,
支气管哮喘,戒烟,疾病-治疗,,
支气管扩张,体位引流,疾病-治疗,,
支气管扩张,戒烟,疾病-治疗,,
支气管扩张,肺康复,疾病-治疗,,
肺动脉高压,活血,疾病-治疗,,
肺动脉高压,补肺,疾病-治疗,,
肺栓塞,无创通气,疾病-治疗,,
肺栓塞,肺康复,疾病-治疗,,
肺炎,戒烟,疾病-治疗,,
肺炎,无创通气,疾病-治疗,,
肺炎,肺康复,疾病-治疗,,
肺癌,戒烟,疾病-治疗,,
肺癌,手术切除,疾病-治疗,,
CVA,刺激性咳嗽,疾病-症状,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
CVA,咳脓性痰,疾病-症状,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
CVA,喘息,疾病-症状,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
CVA,慢性咳嗽,疾病-症状,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
变应性鼻炎,变应性咳嗽,疾病-症状,,
变应性鼻炎,慢性咳嗽,疾病-症状,,
右心衰竭,意识障碍,疾病-症状,,
呼吸衰竭,乏力,疾病-症状,,
呼吸衰竭,呼吸困难,疾病-症状,,
呼吸衰竭,咳嗽加剧,疾病-症状,,
呼吸衰竭,咳痰,疾病-症状,,
呼吸衰竭,啰音,疾病-症状,cooccurrence,42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁_cleaned.txt
呼吸衰竭,喘息,疾病-症状,,
呼吸衰竭,头晕,疾病-症状,,
呼吸衰竭,意识障碍,疾病-症状,,
呼吸衰竭,慢性咳嗽,疾病-症状,,
呼吸衰竭,胸闷,疾病-症状,,
呼吸衰竭,腹胀,疾病-症状,,
呼吸衰竭,自汗,疾病-症状,,
复发性多软骨炎,变应性咳嗽,疾病-症状,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
复发性多软骨炎,慢性咳嗽,疾病-症状,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
心力衰竭,乏力,疾病-症状,,
心力衰竭,呼吸困难,疾病-症状,,
心力衰竭,头晕,疾病-症状,,
心力衰竭,心动过速,疾病-症状,,
心肌梗死,意识障碍,疾病-症状,,
心肌梗死,慢性咳嗽,疾病-症状,,
心肌梗死,绞痛,疾病-症状,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
心血管疾病,呼吸困难,疾病-症状,,
慢性支气管炎,呼吸困难,疾病-症状,,
慢性支气管炎,咳痰,疾病-症状,,
慢性支气管炎,喘息,疾病-症状,,
慢性支气管炎,意识障碍,疾病-症状,,
慢性支气管炎,慢性咳嗽,疾病-症状,,
慢性支气管炎,胸闷,疾病-症状,,
慢性阻塞性肺疾病,中成药,疾病-症状,,
慢性阻塞性肺疾病,乏力,疾病-症状,,
慢性阻塞性肺疾病,呼吸困难,疾病-症状,,
慢性阻塞性肺疾病,咳嗽加剧,疾病-症状,,
慢性阻塞性肺疾病,咳痰,疾病-症状,,
慢性阻塞性肺疾病,啰音,疾病-症状,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
慢性阻塞性肺疾病,喘息,疾病-症状,,
慢性阻塞性肺疾病,失眠,疾病-症状,,
慢性阻塞性肺疾病,头晕,疾病-症状,,
慢性阻塞性肺疾病,头痛,疾病-症状,,
慢性阻塞性肺疾病,心动过速,疾病-症状,,
慢性阻塞性肺疾病,意识障碍,疾病-症状,,
慢性阻塞性肺疾病,慢性咳嗽,疾病-症状,,
慢性阻塞性肺疾病,气虚,疾病-症状,,
慢性阻塞性肺疾病,流清涕,疾病-症状,,
慢性阻塞性肺疾病,祛邪,疾病-症状,,
慢性阻塞性肺疾病,肢体酸痛,疾病-症状,,
慢性阻塞性肺疾病,肺脾气虚,疾病-症状,,
慢性阻塞性肺疾病,胸闷,疾病-症状,,
慢性阻塞性肺疾病,腹泻,疾病-症状,,
慢性阻塞性肺疾病,腹胀,疾病-症状,,
慢性阻塞性肺疾病,自汗,疾病-症状,,
慢性阻塞性肺疾病,风寒袭肺,疾病-症状,,
支气管哮喘,中成药,疾病-症状,,
支气管哮喘,乏力,疾病-症状,,
支气管哮喘,呼吸困难,疾病-症状,,
支气管哮喘,咳痰,疾病-症状,,
支气管哮喘,喘息,疾病-症状,,
支气管哮喘,意识障碍,疾病-症状,,
支气管哮喘,慢性咳嗽,疾病-症状,,
支气管哮喘,气虚,疾病-症状,,
支气管哮喘,胸闷,疾病-症状,,
支气管扩张,中成药,疾病-症状,,
支气管扩张,变应性咳嗽,疾病-症状,,
支气管扩张,呼吸困难,疾病-症状,,
支气管扩张,咳痰,疾病-症状,,
支气管扩张,啰音,疾病-症状,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
支气管扩张,喘息,疾病-症状,,
支气管扩张,慢性咳嗽,疾病-症状,,
支气管炎,呼吸困难,疾病-症状,,
支气管炎,咳痰,疾病-症状,,
支气管炎,喘息,疾病-症状,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
支气管炎,头痛,疾病-症状,,
支气管炎,慢性咳嗽,疾病-症状,,
气道炎症,咳痰,疾病-症状,cooccurrence,29_【CASA-Q量表】慢性气道炎症性疾病气道黏液高分泌管理中国专家共识_cleaned.txt
气道炎症,喘息,疾病-症状,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
气道炎症,慢性咳嗽,疾病-症状,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
气道神经源性炎症,慢性咳嗽,疾病-症状,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
流行性感冒,慢性咳嗽,疾病-症状,,
糖尿病,呼吸困难,疾病-症状,,
糖尿病,咳痰,疾病-症状,,
糖尿病,慢性咳嗽,疾病-症状,,
结核中毒症状,咳痰,疾病-症状,,
结核中毒症状,慢性咳嗽,疾病-症状,,
肺动脉高压,呼吸困难,疾病-症状,,
肺动脉高压,啰音,疾病-症状,cooccurrence,50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年_cleaned.txt
肺动脉高压,头晕,疾病-症状,,
肺动脉高压,意识障碍,疾病-症状,,
肺动脉高压,气虚,疾病-症状,,
肺栓塞,呼吸困难,疾病-症状,,
肺栓塞,慢性咳嗽,疾病-症状,,
肺炎,乏力,疾病-症状,,
肺炎,呼吸困难,疾病-症状,,
肺炎,咳痰,疾病-症状,,
肺炎,啰音,疾病-症状,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
肺炎,喘息,疾病-症状,,
肺炎,心动过速,疾病-症状,,
肺炎,意识障碍,疾病-症状,,
肺炎,慢性咳嗽,疾病-症状,,
肺炎,腹泻,疾病-症状,,
肺癌,乏力,疾病-症状,,
肺癌,呼吸困难,疾病-症状,,
肺癌,慢性咳嗽,疾病-症状,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
肺癌,胸闷,疾病-症状,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
肺结核,慢性咳嗽,疾病-症状,,
胃食管反流,呼吸困难,疾病-症状,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
胃食管反流,慢性咳嗽,疾病-症状,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
阻塞性睡眠呼吸暂停,失眠,疾病-症状,,
非变应性鼻炎,喘息,疾病-症状,,
非变应性鼻炎,慢性咳嗽,疾病-症状,,
鼻后滴流综合征,慢性咳嗽,疾病-症状,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
鼻窦炎,头痛,疾病-症状,,
鼻窦炎,慢性咳嗽,疾病-症状,,
鼻窦炎症状,慢性咳嗽,疾病-症状,,
ACEI,慢性咳嗽,药物-导致-并发症,,
支气管舒张剂,咳痰,药物-导致-并发症,,
支气管舒张剂,高碳酸血症,药物-导致-并发症,cooccurrence,38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁_cleaned.txt
激动剂,心绞痛,药物-导致-并发症,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
糖皮质激素,高碳酸血症,药物-导致-并发症,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
罗氟司特,抑郁症,药物-导致-并发症,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
茶碱类药物,抑郁症,药物-导致-并发症,cooccurrence,68_2022_慢性阻塞性肺疾病免疫调节治疗专家共识_cleaned.txt
ACEI,肺癌,药物-治疗-疾病,,
ACEI,鼻窦炎,药物-治疗-疾病,,
CT,慢性阻塞性肺疾病,药物-治疗-疾病,,
CT,肺结核,药物-治疗-疾病,,
ICS联合LABA,心肌梗死,药物-治疗-疾病,,
ICS联合LABA,心血管疾病,药物-治疗-疾病,,
ICS联合LABA,慢性阻塞性肺疾病,药物-治疗-疾病,,
ICS联合LABA,支气管哮喘,药物-治疗-疾病,,
ICS联合LABA,支气管扩张,药物-治疗-疾病,,
ICS联合LABA,支气管炎,药物-治疗-疾病,,
LABA联合LAMA,心肌梗死,药物-治疗-疾病,,
LABA联合LAMA,心血管疾病,药物-治疗-疾病,,
LABA联合LAMA,慢性阻塞性肺疾病,药物-治疗-疾病,,
LABA联合LAMA,支气管哮喘,药物-治疗-疾病,,
LABA联合LAMA,肺炎,药物-治疗-疾病,,
LABA联合LAMA,肺结核,药物-治疗-疾病,,
他汀类药物,心血管疾病,药物-治疗-疾病,,
他汀类药物,慢性支气管炎,药物-治疗-疾病,,
他汀类药物,慢性阻塞性肺疾病,药物-治疗-疾病,,
他汀类药物,支气管扩张,药物-治疗-疾病,,
他汀类药物,肺炎,药物-治疗-疾病,,
免疫调节剂,慢性阻塞性肺疾病,药物-治疗-疾病,,
免疫调节剂,支气管扩张,药物-治疗-疾病,,
减充血剂,支气管哮喘,药物-治疗-疾病,,
减充血剂,支气管炎,药物-治疗-疾病,,
减充血剂,非变应性鼻炎,药物-治疗-疾病,,
受体阻断剂,心力衰竭,药物-治疗-疾病,,
受体阻断剂,慢性阻塞性肺疾病,药物-治疗-疾病,,
口服抗菌药物,呼吸衰竭,药物-治疗-疾病,,
口服抗菌药物,慢性阻塞性肺疾病,药物-治疗-疾病,,
口服抗菌药物,支气管哮喘,药物-治疗-疾病,,
吸入性糖皮质激素,心肌梗死,药物-治疗-疾病,,
吸入性糖皮质激素,心血管疾病,药物-治疗-疾病,,
吸入性糖皮质激素,慢性支气管炎,药物-治疗-疾病,,
吸入性糖皮质激素,慢性阻塞性肺疾病,药物-治疗-疾病,,
吸入性糖皮质激素,支气管哮喘,药物-治疗-疾病,,
吸入性糖皮质激素,支气管扩张,药物-治疗-疾病,,
吸入性糖皮质激素,肺炎,药物-治疗-疾病,,
吸入性糖皮质激素,肺结核,药物-治疗-疾病,,
吸入性糖皮质激素,自汗,药物-治疗-疾病,,
吸入性糖皮质激素,阻塞性睡眠呼吸暂停,药物-治疗-疾病,,
吸入性糖皮质激素,鼻窦炎,药物-治疗-疾病,,
吸入药物,心力衰竭,药物-治疗-疾病,,
吸入药物,心肌梗死,药物-治疗-疾病,,
吸入药物,心血管疾病,药物-治疗-疾病,,
吸入药物,慢性阻塞性肺疾病,药物-治疗-疾病,,
吸入药物,肺栓塞,药物-治疗-疾病,,
噻托溴铵,慢性阻塞性肺疾病,药物-治疗-疾病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
左氧氟沙星,肺炎,药物-治疗-疾病,cooccurrence,38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁_cleaned.txt
布地奈德,慢性阻塞性肺疾病,药物-治疗-疾病,cooccurrence,50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年_cleaned.txt
度普利尤单抗,慢性阻塞性肺疾病,药物-治疗-疾病,,
恩塞芬汀,慢性阻塞性肺疾病,药物-治疗-疾病,,
抗组胺药物,支气管炎,药物-治疗-疾病,,
抗组胺药物,结核中毒症状,药物-治疗-疾病,,
抗胆碱能药物,慢性阻塞性肺疾病,药物-治疗-疾病,,
抗胆碱能药物,支气管扩张,药物-治疗-疾病,,
抗胆碱能药物,糖尿病,药物-治疗-疾病,,
抗菌药物,心力衰竭,药物-治疗-疾病,,
抗菌药物,慢性阻塞性肺疾病,药物-治疗-疾病,,
抗菌药物,支气管炎,药物-治疗-疾病,,
抗菌药物,肺栓塞,药物-治疗-疾病,,
抗菌药物,肺炎,药物-治疗-疾病,,
抗菌药物,鼻窦炎,药物-治疗-疾病,,
支气管舒张剂,CVA,药物-治疗-疾病,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
支气管舒张剂,右心衰竭,药物-治疗-疾病,,
支气管舒张剂,呼吸衰竭,药物-治疗-疾病,,
支气管舒张剂,心力衰竭,药物-治疗-疾病,,
支气管舒张剂,心肌梗死,药物-治疗-疾病,,
支气管舒张剂,心血管疾病,药物-治疗-疾病,,
支气管舒张剂,慢性阻塞性肺疾病,药物-治疗-疾病,,
支气管舒张剂,支气管哮喘,药物-治疗-疾病,,
支气管舒张剂,支气管扩张,药物-治疗-疾病,,
支气管舒张剂,气道炎症,药物-治疗-疾病,cooccurrence,29_【CASA-Q量表】慢性气道炎症性疾病气道黏液高分泌管理中国专家共识_cleaned.txt
支气管舒张剂,肺炎,药物-治疗-疾病,,
支气管舒张剂,肺癌,药物-治疗-疾病,,
支气管舒张剂,自汗,药物-治疗-疾病,,
沙丁胺醇,慢性阻塞性肺疾病,药物-治疗-疾病,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
激动剂,CVA,药物-治疗-疾病,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
激动剂,变应性鼻炎,药物-治疗-疾病,,
激动剂,心力衰竭,药物-治疗-疾病,,
激动剂,慢性阻塞性肺疾病,药物-治疗-疾病,,
激动剂,支气管扩张,药物-治疗-疾病,,
激动剂,支气管炎,药物-治疗-疾病,,
激动剂,肺炎,药物-治疗-疾病,,
激动剂,肺结核,药物-治疗-疾病,,
激动剂,自汗,药物-治疗-疾病,,
生物制剂,慢性支气管炎,药物-治疗-疾病,,
生物制剂,慢性阻塞性肺疾病,药物-治疗-疾病,,
短效β2受体激动剂,呼吸衰竭,药物-治疗-疾病,,
短效β2受体激动剂,慢性阻塞性肺疾病,药物-治疗-疾病,,
短效β2受体激动剂,支气管扩张,药物-治疗-疾病,,
短效β2受体激动剂,肺栓塞,药物-治疗-疾病,,
短效β2受体激动剂,肺癌,药物-治疗-疾病,,
磷酸二酯酶抑制剂,慢性阻塞性肺疾病,药物-治疗-疾病,,
福莫特罗,慢性阻塞性肺疾病,药物-治疗-疾病,cooccurrence,50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年_cleaned.txt
第一代抗组胺药物,支气管炎,药物-治疗-疾病,,
糖皮质激素,变应性鼻炎,药物-治疗-疾病,,
糖皮质激素,呼吸衰竭,药物-治疗-疾病,,
糖皮质激素,心力衰竭,药物-治疗-疾病,,
糖皮质激素,心血管疾病,药物-治疗-疾病,,
糖皮质激素,慢性阻塞性肺疾病,药物-治疗-疾病,,
糖皮质激素,支气管哮喘,药物-治疗-疾病,,
糖皮质激素,支气管扩张,药物-治疗-疾病,,
糖皮质激素,气道炎症,药物-治疗-疾病,cooccurrence,29_【CASA-Q量表】慢性气道炎症性疾病气道黏液高分泌管理中国专家共识_cleaned.txt
糖皮质激素,结核中毒症状,药物-治疗-疾病,,
糖皮质激素,肺动脉高压,药物-治疗-疾病,,
糖皮质激素,肺栓塞,药物-治疗-疾病,,
糖皮质激素,肺炎,药物-治疗-疾病,,
糖皮质激素,鼻窦炎,药物-治疗-疾病,,
线胸片,变应性鼻炎,药物-治疗-疾病,,
线胸片,呼吸衰竭,药物-治疗-疾病,,
线胸片,心力衰竭,药物-治疗-疾病,,
线胸片,慢性支气管炎,药物-治疗-疾病,,
线胸片,慢性阻塞性肺疾病,药物-治疗-疾病,,
线胸片,支气管哮喘,药物-治疗-疾病,,
线胸片,支气管扩张,药物-治疗-疾病,,
线胸片,肺栓塞,药物-治疗-疾病,,
线胸片,肺炎,药物-治疗-疾病,,
线胸片,肺癌,药物-治疗-疾病,,
线胸片,肺结核,药物-治疗-疾病,,
羧甲司坦,心力衰竭,药物-治疗-疾病,,
羧甲司坦,慢性阻塞性肺疾病,药物-治疗-疾病,,
羧甲司坦,支气管哮喘,药物-治疗-疾病,,
联合制剂,慢性阻塞性肺疾病,药物-治疗-疾病,,
苏子降气丸,慢性阻塞性肺疾病,药物-治疗-疾病,,
茶碱,慢性阻塞性肺疾病,药物-治疗-疾病,cooccurrence,50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年_cleaned.txt
茶碱类药物,慢性阻塞性肺疾病,药物-治疗-疾病,,
长效β2受体激动剂,心力衰竭,药物-治疗-疾病,,
长效β2受体激动剂,心肌梗死,药物-治疗-疾病,,
长效β2受体激动剂,心血管疾病,药物-治疗-疾病,,
长效β2受体激动剂,慢性支气管炎,药物-治疗-疾病,,
长效β2受体激动剂,慢性阻塞性肺疾病,药物-治疗-疾病,,
长效β2受体激动剂,支气管哮喘,药物-治疗-疾病,,
长效β2受体激动剂,支气管扩张,药物-治疗-疾病,,
长效β2受体激动剂,肺动脉高压,药物-治疗-疾病,,
长效β2受体激动剂,肺炎,药物-治疗-疾病,,
长效β2受体激动剂,自汗,药物-治疗-疾病,,
长效毒蕈碱拮抗剂,心肌梗死,药物-治疗-疾病,,
长效毒蕈碱拮抗剂,心血管疾病,药物-治疗-疾病,,
长效毒蕈碱拮抗剂,慢性支气管炎,药物-治疗-疾病,,
长效毒蕈碱拮抗剂,慢性阻塞性肺疾病,药物-治疗-疾病,,
长效毒蕈碱拮抗剂,支气管哮喘,药物-治疗-疾病,,
长效毒蕈碱拮抗剂,支气管扩张,药物-治疗-疾病,,
长效毒蕈碱拮抗剂,糖尿病,药物-治疗-疾病,,
长效毒蕈碱拮抗剂,肺动脉高压,药物-治疗-疾病,,
长效毒蕈碱拮抗剂,肺炎,药物-治疗-疾病,,
长效毒蕈碱拮抗剂,自汗,药物-治疗-疾病,,
黏液溶解剂,心力衰竭,药物-治疗-疾病,,
黏液溶解剂,慢性阻塞性肺疾病,药物-治疗-疾病,,
ICS联合LABA,呼吸困难,药物-缓解-症状,,
LABA联合LAMA,呼吸困难,药物-缓解-症状,,
LABA联合LAMA,喘息,药物-缓解-症状,,
LABA联合LAMA,慢性咳嗽,药物-缓解-症状,,
LABA联合LAMA,气虚,药物-缓解-症状,,
LABA联合LAMA,肺脾气虚,药物-缓解-症状,,
中枢性镇咳药,慢性咳嗽,药物-缓解-症状,,
他汀类药物,慢性咳嗽,药物-缓解-症状,,
促胃动力药,慢性咳嗽,药物-缓解-症状,,
减充血剂,喘息,药物-缓解-症状,,
减充血剂,慢性咳嗽,药物-缓解-症状,,
受体阻断剂,慢性咳嗽,药物-缓解-症状,,
口服抗菌药物,慢性咳嗽,药物-缓解-症状,,
吸入性糖皮质激素,乏力,药物-缓解-症状,,
吸入性糖皮质激素,呼吸困难,药物-缓解-症状,,
吸入性糖皮质激素,喘息,药物-缓解-症状,,
吸入性糖皮质激素,心动过速,药物-缓解-症状,,
吸入性糖皮质激素,慢性咳嗽,药物-缓解-症状,,
吸入性糖皮质激素,气虚,药物-缓解-症状,,
吸入性糖皮质激素,肺脾气虚,药物-缓解-症状,,
吸入性糖皮质激素,腹胀,药物-缓解-症状,,
吸入药物,呼吸困难,药物-缓解-症状,,
吸入药物,喘息,药物-缓解-症状,,
吸入药物,慢性咳嗽,药物-缓解-症状,,
吸入药物,气虚,药物-缓解-症状,,
吸入药物,肺脾气虚,药物-缓解-症状,,
噻托溴铵,呼吸困难,药物-缓解-症状,cooccurrence,38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁_cleaned.txt
度普利尤单抗,呼吸困难,药物-缓解-症状,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
恩塞芬汀,呼吸困难,药物-缓解-症状,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
抑酸药物,慢性咳嗽,药物-缓解-症状,,
抗胆碱能药物,喘息,药物-缓解-症状,,
抗胆碱能药物,慢性咳嗽,药物-缓解-症状,,
抗菌药物,呼吸困难,药物-缓解-症状,,
抗菌药物,喘息,药物-缓解-症状,,
抗菌药物,意识障碍,药物-缓解-症状,,
抗菌药物,慢性咳嗽,药物-缓解-症状,,
支气管舒张剂,乏力,药物-缓解-症状,,
支气管舒张剂,呼吸困难,药物-缓解-症状,,
支气管舒张剂,咳痰,药物-缓解-症状,cooccurrence,23_面向全科医生的《慢性阻塞性肺疾病诊治指南（2021年修订版）》解读_cleaned.txt
支气管舒张剂,喘息,药物-缓解-症状,,
支气管舒张剂,慢性咳嗽,药物-缓解-症状,,
支气管舒张剂,气虚,药物-缓解-症状,,
支气管舒张剂,肺脾气虚,药物-缓解-症状,,
支气管舒张剂,胸闷,药物-缓解-症状,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
氟替卡松,啰音,药物-缓解-症状,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
沙丁胺醇,呼吸困难,药物-缓解-症状,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
激动剂,中成药,药物-缓解-症状,,
激动剂,乏力,药物-缓解-症状,,
激动剂,喘息,药物-缓解-症状,,
激动剂,心动过速,药物-缓解-症状,,
激动剂,慢性咳嗽,药物-缓解-症状,,
激动剂,肺脾气虚,药物-缓解-症状,,
