head,tail,relation,source,doc
细菌感染,慢性阻塞性肺疾病,危险因素-疾病,,
细菌感染,支气管扩张,危险因素-疾病,,
细菌感染,气道炎症,危险因素-疾病,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
细菌感染,肺炎,危险因素-疾病,,
遗传,慢性支气管炎,危险因素-疾病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
遗传,慢性阻塞性肺疾病,危险因素-疾病,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
CT,肺癌,检查-筛查-疾病,,
CT,变应性咳嗽,检查-评估-疾病,,
CT,咳痰,检查-评估-疾病,,
CT,喘息,检查-评估-疾病,,
CT,心动过速,检查-评估-疾病,,
CT,慢性咳嗽,检查-评估-疾病,,
呼吸频率,意识障碍,检查-评估-疾病,,
肺功能,喘息,检查-评估-疾病,,
肺功能,肺脾气虚,检查-评估-疾病,,
肺功能,胸闷,检查-评估-疾病,,
脉搏血氧,心动过速,检查-评估-疾病,,
血气分析,呼吸困难,检查-评估-疾病,,
血气分析,意识障碍,检查-评估-疾病,,
CT,中成药,检查-评估-症状,,
CT,头痛,检查-评估-症状,,
CT,气虚,检查-评估-症状,,
CT,流清涕,检查-评估-症状,,
CT,肢体酸痛,检查-评估-症状,,
CT,胸闷,检查-评估-症状,,
CT,腹泻,检查-评估-症状,,
CT,腹胀,检查-评估-症状,,
呼吸频率,中成药,检查-评估-症状,,
呼吸频率,呼吸困难,检查-评估-症状,,
心电图,呼吸困难,检查-评估-症状,,
心电图,咳痰,检查-评估-症状,,
心电图,头痛,检查-评估-症状,,
心电图,慢性咳嗽,检查-评估-症状,,
心电图,流清涕,检查-评估-症状,,
心电图,脉浮,检查-评估-症状,,
肺功能,中成药,检查-评估-症状,,
肺功能,呼吸困难,检查-评估-症状,,
肺功能,咳痰,检查-评估-症状,,
肺功能,头晕,检查-评估-症状,,
肺功能,头痛,检查-评估-症状,,
肺功能,慢性咳嗽,检查-评估-症状,,
肺功能,气虚,检查-评估-症状,,
脉浮,头痛,检查-评估-症状,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
脉浮,流清涕,检查-评估-症状,cooccurrence,20_【中医证候】慢性阻塞性肺疾病中医证候诊断标准（2011版）_cleaned.txt
脉浮,肌肉酸痛,检查-评估-症状,cooccurrence,20_【中医证候】慢性阻塞性肺疾病中医证候诊断标准（2011版）_cleaned.txt
脉浮,胸闷,检查-评估-症状,cooccurrence,35_咳嗽中医诊疗专家共识意见（2021）_cleaned.txt
血气分析,中成药,检查-评估-症状,,
CT,变应性鼻炎,检查-辅助诊断-疾病,,
CT,呼吸衰竭,检查-辅助诊断-疾病,,
CT,心力衰竭,检查-辅助诊断-疾病,,
CT,心血管疾病,检查-辅助诊断-疾病,,
CT,慢性支气管炎,检查-辅助诊断-疾病,,
CT,慢性阻塞性肺疾病,检查-辅助诊断-疾病,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
CT,支气管哮喘,检查-辅助诊断-疾病,,
CT,支气管扩张,检查-辅助诊断-疾病,,
CT,细支气管炎,检查-辅助诊断-疾病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
CT,肺动脉高压,检查-辅助诊断-疾病,,
CT,肺栓塞,检查-辅助诊断-疾病,,
CT,肺炎,检查-辅助诊断-疾病,,
CT,肺癌,检查-辅助诊断-疾病,,
CT,肺结核,检查-辅助诊断-疾病,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
CT,鼻窦炎,检查-辅助诊断-疾病,,
吸气流速,慢性阻塞性肺疾病,检查-辅助诊断-疾病,,
吸气流速,肺动脉高压,检查-辅助诊断-疾病,,
呼吸频率,呼吸衰竭,检查-辅助诊断-疾病,,
呼吸频率,慢性阻塞性肺疾病,检查-辅助诊断-疾病,,
呼吸频率,肺炎,检查-辅助诊断-疾病,,
心电图,右心衰竭,检查-辅助诊断-疾病,,
心电图,呼吸衰竭,检查-辅助诊断-疾病,,
心电图,心力衰竭,检查-辅助诊断-疾病,,
