standard_name,alias,type
慢性阻塞性肺疾病,慢阻肺病,Disease
胃食管反流,胃食管反流病,Disease
鼻后滴流综合征,PNDS,Disease
乏力,疲劳,Symptom
肌肉酸痛,肢体酸痛,Symptom
咳少许白色黏液痰,咳少量白色黏痰,Symptom
