排名	词语	频次	PMI	左熵	右熵	综合得分
114	矛盾	3	14.7807	1.585	0.9183	17.284
115	掌握	3	14.7807	0.9183	1.585	17.284
116	呕吐	3	14.7807	0.9183	1.585	17.284
117	踏车	3	14.7807	1.585	0.9183	17.284
118	距离	6	12.9062	1.7925	2.585	17.2837
119	httpsgoldcopd	4	13.7807	2.0	1.5	17.2807
120	抑郁	19	11.3375	2.8206	3.1158	17.2739
121	控制	25	9.1442	4.3239	3.7795	17.2475
122	主要	73	7.816	4.5732	4.8427	17.2319
123	损伤	11	10.6577	3.4594	3.0958	17.2129
124	ChronicObstructivePulmonaryDisease	12	11.1368	2.9219	3.1219	17.1807
125	占预计值	21	9.744	3.5945	3.8209	17.1593
126	危险因素	42	8.8188	3.9081	4.4313	17.1581
127	陈荣昌	11	11.3213	3.0958	2.7322	17.1492
128	指南	88	8.2828	3.9087	4.9459	17.1375
129	解读	16	10.5583	3.2028	3.375	17.1361
130	睡眠	9	11.9506	2.9477	2.1972	17.0955
131	死亡	35	10.076	3.976	3.0346	17.0866
132	出现	49	8.0384	4.5581	4.4798	17.0763
133	chronicobstructivepulmonarydisease	62	8.4678	4.111	4.4879	17.0667
134	评价	32	8.1074	4.3903	4.5625	17.0602
135	airpollution	4	13.5583	2.0	1.5	17.0583
136	按照	23	10.1243	2.8691	4.056	17.0494
137	急性加重	242	7.0914	4.5977	5.3539	17.043
138	王凤燕	8	12.2782	2.75	2.0	17.0282
139	梁振宇	5	12.7807	1.9219	2.3219	17.0245
140	显著	33	9.7376	3.5906	3.689	17.0172
141	呼吸	387	6.8738	5.8532	4.2773	17.0043
142	ChineseGeneralPractice	10	12.3657	1.2955	3.3219	16.983
143	噻托溴铵	9	11.3068	2.7255	2.9477	16.9799
144	RVTLC	4	12.9733	2.0	2.0	16.9733
145	BhattSP	3	13.7807	1.585	1.585	16.9506
146	BoltonCE	3	14.9506	1.0	1.0	16.9506
147	帮助	8	11.1957	3.0	2.75	16.9457
148	因素	112	7.6149	3.63	5.682	16.9269
149	健康	70	9.0598	4.5866	3.2577	16.904
150	筛查	30	9.1083	3.7362	4.0566	16.9011
151	儿童	7	12.7136	2.5216	1.6645	16.8997
152	钟南山	5	13.0437	1.9219	1.9219	16.8876
153	2021010900031	3	14.3657	0.9183	1.585	16.8689
154	浙江	3	14.3657	1.585	0.9183	16.8689
155	输送	3	14.3657	0.9183	1.585	16.8689
156	柔韧	4	14.3657	1.5	1.0	16.8657
157	时间	50	7.4016	4.2522	5.2117	16.8654
158	DOI101016j	36	7.3951	5.0588	4.4058	16.8596
159	crosssectional	5	13.5583	1.9219	1.371	16.8512
160	范围	8	11.0989	2.75	3.0	16.8489
161	issn10010939	17	10.9978	2.6757	3.1751	16.8486
162	改变	46	7.8505	4.2761	4.7157	16.8423
163	头孢	9	11.2502	2.4194	3.1699	16.8395
164	终点	37	9.2006	2.9671	4.6689	16.8366
165	可以	104	6.0673	5.7324	5.0316	16.8313
166	计划	13	10.0437	3.2389	3.5466	16.8292
167	持续	32	9.0803	4.0511	3.6914	16.8228
168	陈亚红	8	11.3213	2.75	2.75	16.8213
169	调整	19	9.374	3.8269	3.6163	16.8172
170	airflowobstruction	7	11.7721	2.5216	2.5216	16.8154
171	医院	77	6.9894	4.3687	5.4563	16.8145
172	heartfailure	3	13.6287	1.585	1.585	16.7986
173	细胞	59	9.6563	3.1081	4.0169	16.7814
174	羧甲司坦	4	12.7807	2.0	2.0	16.7807
175	什么	4	13.7807	1.5	1.5	16.7807
176	qualityoflife	3	14.7807	1.0	1.0	16.7807
177	AndersonJA	6	13.0437	2.3219	1.371	16.7366
178	FabbriLM	4	13.5583	1.585	1.585	16.7282
179	允许	4	12.7218	2.0	2.0	16.7218
180	疲劳	4	12.7218	2.0	2.0	16.7218
181	SystematicReview	4	13.7218	1.5	1.5	16.7218
182	家庭	14	10.1562	3.5216	3.0391	16.717
183	LABALAMA	32	8.5155	4.0109	4.1748	16.7012
184	longacting	13	11.2847	2.7774	2.6235	16.6856
