排名	词语	频次	PMI	左熵	右熵	得分	分类原因
668	责任	3	9.2433	1.585	1.585	12.4132	未满足任何正向条件
669	低氧血	17	8.3142	3.4548	0.6402	12.4092	含结构虚字
670	既往吸烟	4	8.4086	2.0	2.0	12.4086	含结构虚字
671	的临床	36	3.1102	4.6626	4.628	12.4007	含结构虚字
672	黏液溶解	3	10.5583	0.9183	0.9183	12.3949	未满足任何正向条件
673	血气分析	8	8.6862	0.9544	2.75	12.3906	含结构虚字
674	感冒	4	9.5712	0.8113	2.0	12.3825	未满足任何正向条件
675	apopulationbased	3	9.2092	1.585	1.585	12.3791	过长英文
676	是一种	12	6.8382	2.4508	3.085	12.374	含结构虚字
677	连接	3	9.2024	1.585	1.585	12.3724	含结构虚字
678	燃料烟雾	3	10.5328	0.9183	0.9183	12.3694	含结构虚字
679	内径	6	7.5328	2.2516	2.585	12.3694	含结构虚字
680	文编辑	5	10.1253	0.7219	1.5219	12.3692	含结构虚字
681	球菌	16	8.568	2.0	1.7988	12.3668	未满足任何正向条件
682	相互	10	8.0803	2.9219	1.3568	12.359	含结构虚字
683	近年	11	7.8017	3.2776	1.2776	12.3569	含结构虚字
684	征象	3	9.1857	1.585	1.585	12.3557	含结构虚字
685	globalinitiativefor	3	9.1824	1.585	1.585	12.3524	过长英文
686	文章	5	8.9029	1.9219	1.5219	12.3468	未满足任何正向条件
687	微生物	9	7.3396	2.9477	2.0588	12.3461	含结构虚字
688	险因素暴露史	6	9.1083	0.65	2.585	12.3433	含结构虚字
689	forthediagnosis	5	9.5975	1.371	1.371	12.3394	过长英文
690	asystematicreview	6	8.6242	2.2516	1.4591	12.335	过长英文
691	充血性心力	6	9.0989	2.585	0.65	12.3339	含结构虚字
692	设备	4	9.3295	1.5	1.5	12.3295	含结构虚字
693	preventionofchronicobstructivepulmonarydisease	4	8.8265	1.5	2.0	12.3265	过长英文
694	升级至	6	9.6063	1.2516	1.4591	12.3171	未满足任何正向条件
695	严重程	54	8.1016	3.5548	0.6601	12.3165	含结构虚字
696	急性加重风险	17	5.9951	3.2928	3.0286	12.3165	含结构虚字
697	pulmonaryrehabilitation	5	8.6228	2.3219	1.371	12.3157	过长英文
698	欧洲呼吸学会	4	9.3104	1.5	1.5	12.3104	含结构虚字
699	日记	5	8.4636	1.9219	1.9219	12.3074	含结构虚字
700	尽快	3	9.1368	1.585	1.585	12.3068	未满足任何正向条件
701	基因测序	3	9.1368	1.585	1.585	12.3068	含结构虚字
702	旨在	5	7.6618	2.3219	2.3219	12.3056	含结构虚字
703	他们	4	8.8034	1.5	2.0	12.3034	未满足任何正向条件
704	医务人员	7	7.9394	2.2359	2.1281	12.3034	含结构虚字
705	呼吸性酸中毒	5	7.6548	2.3219	2.3219	12.2987	含结构虚字
