排名	词语	频次	PMI	左熵	右熵	综合得分
234	首选	15	8.9106	2.9559	3.6402	15.5067
235	糖皮质激素	30	8.7715	2.5431	4.1899	15.5045
236	尤其是	18	7.8561	4.0588	3.5724	15.4873
237	不良反应	26	7.653	3.6235	4.2099	15.4864
238	司坦	8	11.0803	1.4056	3.0	15.4859
239	变化	33	7.1611	3.8318	4.4879	15.4808
240	systemicinflammation	3	12.3068	1.585	1.585	15.4767
241	它们	6	10.9733	2.2516	2.2516	15.4766
242	阿奇	6	12.9062	1.9183	0.65	15.4745
243	inhaledcorticosteroids	4	11.9733	2.0	1.5	15.4733
244	工作	20	8.4402	3.7219	3.3087	15.4709
245	社区	11	9.7087	3.2776	2.4817	15.4681
246	进展	47	7.5931	2.8261	5.0279	15.4471
247	基层医疗机构	14	9.1368	3.182	3.1281	15.4469
248	CPMPICH	4	11.4468	2.0	2.0	15.4468
249	刺激	11	9.6817	2.6635	3.0958	15.441
250	啰音	3	12.9062	0.9183	1.585	15.4095
251	李姝润	3	12.9062	0.9183	1.585	15.4095
252	修订版	29	9.6359	3.5723	2.2008	15.409
253	胸部	16	8.1249	3.7028	3.5778	15.4055
254	双盲	6	10.8953	2.2516	2.2516	15.3986
255	困难	105	9.494	0.6172	5.2796	15.3907
256	ICSLABA	22	7.6652	3.8454	3.8797	15.3902
257	开展	14	8.6175	3.5216	3.2359	15.375
258	弥漫	4	12.5583	2.0	0.8113	15.3696
259	受体激动剂	27	8.5328	2.7279	4.1064	15.367
260	组织	13	9.7958	2.3158	3.2389	15.3505
261	团队	8	12.4953	1.5488	1.2988	15.3429
262	例如	14	8.1534	3.6645	3.5216	15.3396
263	采取	8	9.581	2.75	3.0	15.331
264	JEurRespirJ	29	7.0303	4.3197	3.9783	15.3283
265	基层	44	8.8958	4.8148	1.6142	15.3248
266	noninvasivepositive	3	12.8213	1.585	0.9183	15.3246
267	资料	5	11.0803	1.9219	2.3219	15.3241
268	探讨	4	11.3213	2.0	2.0	15.3213
269	obstructivepulmonarydisease	93	8.7122	2.4071	4.2009	15.3202
270	inpatientswith	30	7.6532	4.5232	3.1424	15.3188
271	频繁	8	10.9103	2.4056	2.0	15.316
272	常规	25	7.3378	3.8937	4.0839	15.3153
273	exercisecapacity	3	12.1433	1.585	1.585	15.3132
274	稳定	65	8.5688	4.8975	1.8249	15.2912
275	chronicobstructive	116	8.6723	4.1566	2.4569	15.2858
276	储物罐	3	12.7807	0.9183	1.585	15.284
277	绞痛	6	12.0437	0.65	2.585	15.2787
278	更新	37	7.7277	4.2266	3.3147	15.269
279	手术	11	8.6932	3.2776	3.2776	15.2485
280	高碳酸血症	15	7.8738	3.7736	3.5899	15.2373
281	pMDISMI	7	10.1787	2.5216	2.5216	15.2219
282	报告	7	11.7136	2.1281	1.3788	15.2204
283	清晰	3	12.0437	1.585	1.585	15.2137
284	本文	15	8.5139	3.7736	2.9232	15.2107
285	至少	15	8.0588	3.5069	3.6402	15.2059
286	支持	27	6.8351	3.9121	4.4586	15.2058
287	fumaratemetereddose	3	13.3657	0.9183	0.9183	15.2022
288	识别	14	8.3921	3.4677	3.3249	15.1846
289	patientswith	52	8.8017	2.7532	3.6294	15.1842
290	支气管扩张	28	8.6963	3.8198	2.6624	15.1785
291	编辑崔莎	3	12.6652	0.9183	1.585	15.1685
292	生活质量	19	8.1167	3.0106	4.0374	15.1647
293	clinicalpractice	4	11.6514	2.0	1.5	15.1514
294	总体来说	4	11.1368	2.0	2.0	15.1368
295	黏膜	6	10.6287	2.2516	2.2516	15.1319
296	技巧	4	11.6108	1.5	2.0	15.1108
297	焦虑	14	9.5202	3.3249	2.2638	15.1088
298	功能	216	7.4708	2.409	5.2229	15.1027
299	委员会	14	9.2108	2.217	3.6645	15.0924
300	灵敏	4	12.2782	2.0	0.8113	15.0895
301	雾化器	8	9.5712	2.75	2.75	15.0712
302	反映	8	9.5664	2.75	2.75	15.0664
303	缓解	13	9.3519	3.2389	2.4697	15.0604
304	模拟	4	12.5583	1.0	1.5	15.0583
305	肺功能检查	42	5.9397	4.2958	4.8146	15.0501
306	心力衰竭	22	8.3393	3.1747	3.5338	15.0477
307	预后	31	6.5558	4.1682	4.3203	15.0443
308	外周	19	8.9585	3.9321	2.1398	15.0305
309	处理	20	8.2808	3.1087	3.6219	15.0115
310	起始	17	8.9024	3.6901	2.4165	15.009
311	参考	29	8.2507	3.8095	2.942	15.0021
312	手口协	12	10.7027	3.085	1.2075	14.9952
313	教授	8	10.9394	2.75	1.2988	14.9882
314	广州	14	10.8876	2.8352	1.2638	14.9867
315	反应	60	6.985	2.9425	5.0566	14.984
316	resultsfrom	4	12.4588	0.9183	1.585	14.962
317	空气污染	12	9.8072	2.4591	2.6887	14.9551
318	placebocontrolled	5	10.7103	1.9219	2.3219	14.9542
319	应用	61	4.7193	5.2566	4.9776	14.9536
320	支气管	150	7.8786	4.548	2.5232	14.9498
321	水肿	10	9.166	2.4464	3.3219	14.9344
322	免疫调节	4	10.9227	2.0	2.0	14.9227
323	pulmonarydisease	124	8.7678	1.8847	4.2676	14.9201
324	平滑肌	6	10.0772	2.2516	2.585	14.9138
325	systematicreview	12	11.6932	1.8676	1.3486	14.9095
326	randomisedcontrolled	10	10.4208	2.3219	2.161	14.9037
327	季节	5	10.6597	1.9219	2.3219	14.9035
328	咳痰	18	8.8953	2.7448	3.2608	14.901
329	地区	11	8.7087	2.914	3.2776	14.9003
330	Globalstrategy	5	11.8547	2.3219	0.7219	14.8986
331	httpwww	6	12.4428	1.7925	0.65	14.8853
332	合并	115	7.1615	4.777	2.9334	14.8719
333	影像	12	9.5637	2.8554	2.4508	14.8699
334	纤毛	6	11.8213	1.7925	1.2516	14.8654
335	颗粒	10	10.7807	2.1219	1.961	14.8636
336	格隆溴铵	8	11.2888	1.0613	2.5	14.8501
337	鉴别诊断	10	9.5583	2.161	3.1219	14.8412
338	规律	13	8.9227	2.5074	3.3927	14.8228
339	inthe	24	6.3175	4.4183	4.085	14.8208
340	配备	5	11.1253	1.371	2.3219	14.8182
341	作用	62	5.8541	4.3717	4.5883	14.8142
342	足够	8	10.1513	2.25	2.4056	14.807
343	遵循	8	12.1957	1.0613	1.5488	14.8058
344	痰液	10	8.3567	3.3219	3.1219	14.8005
345	低氧血症	15	7.6932	3.4566	3.6402	14.79
346	小气道	12	7.9464	3.4183	3.4183	14.783
347	其它	13	8.2062	3.1808	3.3927	14.7798
348	利益冲突	4	11.2782	1.5	2.0	14.7782
349	年龄	20	8.2335	3.6219	2.9219	14.7774
350	目标	24	7.6722	3.2662	3.835	14.7733
351	隆寰宇	4	12.4588	0.8113	1.5	14.77
352	流行病学	11	8.4648	3.2776	3.0272	14.7696
353	定义	20	7.5909	3.3842	3.7842	14.7592
354	慢阻肺病	166	4.8894	5.5244	4.3423	14.7561
355	尚未	9	9.3757	2.9477	2.4194	14.7428
356	公认	7	11.0697	2.5216	1.1488	14.7402
357	接种	25	7.606	3.0751	4.0537	14.7347
358	祛痰	6	10.5583	1.9183	2.2516	14.7282
359	Email	24	10.9993	2.8567	0.8659	14.7218
360	蛋白酶	9	11.2137	1.4466	2.0588	14.7191
361	tripletherapy	5	10.8738	1.9219	1.9219	14.7177
362	吸烟	71	5.7459	5.2446	3.727	14.7175
363	严重	100	7.0197	4.9047	2.7795	14.704
364	moderatetosevere	3	12.1957	1.585	0.9183	14.699
365	沙美特罗	4	10.6932	2.0	2.0	14.6932
366	杂志	82	9.6639	1.908	3.119	14.6908
367	参考文献	6	9.8447	2.2516	2.585	14.6813
368	职业性粉尘	4	12.6652	1.0	1.0	14.6652
369	指标	26	6.3983	3.7155	4.5466	14.6604
370	电子	6	10.6152	2.2516	1.7925	14.6593
371	证据	26	7.7702	3.1189	3.7672	14.6563
372	提示	14	7.8635	3.4677	3.3249	14.6561
373	姑息	5	11.6108	2.3219	0.7219	14.6546
374	糠酸氟替卡松	4	11.8421	2.0	0.8113	14.6534
375	reductionsurgery	3	12.1433	0.9183	1.585	14.6465
376	Setal	20	6.3368	4.3219	3.9842	14.6429
377	无创	24	9.1417	3.8554	1.6432	14.6402
378	静息	6	9.8034	2.585	2.2516	14.64
379	LAMALABA	21	7.9078	3.749	2.9803	14.6371
380	日常生活	7	9.588	2.5216	2.5216	14.6313
